sequence_id	foldseek_id	structure_file
FZD1_HUMAN_Q9UP38	seq1_FZD1_HUMAN_Q9UP38	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD1_HUMAN_Q9UP38.cif
FZD2_HUMAN_Q14332	seq2_FZD2_HUMAN_Q14332	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD2_HUMAN_Q14332.cif
FZD7_HUMAN_O75084	seq3_FZD7_HUMAN_O75084	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD7_HUMAN_O75084.cif
FZD5_HUMAN_Q13467	seq4_FZD5_HUMAN_Q13467	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD5_HUMAN_Q13467.cif
FZD8_HUMAN_Q9H461	seq5_FZD8_HUMAN_Q9H461	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD8_HUMAN_Q9H461.cif
FZD4_HUMAN_Q9ULV1	seq6_FZD4_HUMAN_Q9ULV1	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD4_HUMAN_Q9ULV1.cif
FZD9_HUMAN_O00144	seq7_FZD9_HUMAN_O00144	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD9_HUMAN_O00144.cif
FZD10_HUMAN_Q9ULW2	seq8_FZD10_HUMAN_Q9ULW2	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD10_HUMAN_Q9ULW2.cif
FZD3_HUMAN_Q9NPG1	seq9_FZD3_HUMAN_Q9NPG1	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD3_HUMAN_Q9NPG1.cif
FZD6_HUMAN_O60353	seq10_FZD6_HUMAN_O60353	/mnt/c/Users/yudal/Documents/project/eGPS2/jars/egps2_collections/egps-oneBuilder/input_demo/prot_seqs_with_structure/structures/FZD6_HUMAN_O60353.cif
