query	target	pair_type	backend	score_type	similarity	distance	fident	alnlen	evalue	bits	alntmscore	qtmscore	ttmscore	lddt	prob
FZD1_HUMAN_Q9UP38	FZD1_HUMAN_Q9UP38	structure_vs_structure	foldseek	foldseek_tmscore_mean	1	0	1.000	647	6.005E-97	5012	1.002E+00	1.000E+00	1.000E+00	1.000E+00	1.000
FZD1_HUMAN_Q9UP38	FZD7_HUMAN_O75084	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.70075	0.29925	0.726	615	2.646E-69	2892	7.406E-01	6.621E-01	7.394E-01	8.781E-01	1.000
FZD1_HUMAN_Q9UP38	FZD2_HUMAN_Q14332	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.66525	0.33475	0.773	574	4.952E-69	2841	7.051E-01	6.270E-01	7.035E-01	8.973E-01	1.000
FZD1_HUMAN_Q9UP38	FZD3_HUMAN_Q9NPG1	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.5428	0.4572	0.446	540	7.908E-45	1771	7.162E-01	5.504E-01	5.352E-01	8.086E-01	1.000
FZD1_HUMAN_Q9UP38	FZD6_HUMAN_O60353	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.52565	0.47435	0.421	541	4.419E-45	1753	7.044E-01	5.480E-01	5.033E-01	7.966E-01	1.000
FZD1_HUMAN_Q9UP38	FZD5_HUMAN_Q13467	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.5397	0.4603	0.448	611	1.294E-44	1573	6.115E-01	5.149E-01	5.645E-01	7.544E-01	1.000
FZD1_HUMAN_Q9UP38	FZD10_HUMAN_Q9ULW2	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.52685	0.47315	0.460	554	6.647E-43	1544	6.154E-01	4.989E-01	5.548E-01	7.801E-01	1.000
FZD1_HUMAN_Q9UP38	FZD8_HUMAN_Q9H461	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.4871	0.5129	0.418	679	2.117E-44	1478	5.500E-01	5.037E-01	4.705E-01	7.478E-01	1.000
FZD1_HUMAN_Q9UP38	FZD9_HUMAN_O00144	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.52215	0.47785	0.408	612	1.308E-40	1388	5.855E-01	4.993E-01	5.450E-01	7.390E-01	1.000
FZD1_HUMAN_Q9UP38	FZD4_HUMAN_Q9ULV1	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.5437	0.4563	0.400	620	8.405E-39	1363	6.207E-01	4.946E-01	5.928E-01	7.352E-01	1.000
FZD4_HUMAN_Q9ULV1	FZD4_HUMAN_Q9ULV1	structure_vs_structure	foldseek	foldseek_tmscore_mean	1	0	1.000	537	8.896E-82	4160	1.002E+00	1.000E+00	1.000E+00	1.000E+00	1.000
FZD4_HUMAN_Q9ULV1	FZD9_HUMAN_O00144	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.57945	0.42055	0.492	571	1.965E-50	1851	6.213E-01	6.066E-01	5.523E-01	8.341E-01	1.000
FZD4_HUMAN_Q9ULV1	FZD10_HUMAN_Q9ULW2	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.59695	0.40305	0.493	575	2.097E-49	1814	6.307E-01	6.188E-01	5.751E-01	8.224E-01	1.000
FZD4_HUMAN_Q9ULV1	FZD8_HUMAN_Q9H461	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.55755	0.44245	0.378	642	1.630E-41	1508	6.442E-01	6.230E-01	4.921E-01	7.855E-01	1.000
FZD4_HUMAN_Q9ULV1	FZD7_HUMAN_O75084	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.5613	0.4387	0.422	589	4.157E-42	1468	6.026E-01	5.796E-01	5.430E-01	7.738E-01	1.000
FZD4_HUMAN_Q9ULV1	FZD2_HUMAN_Q14332	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.569	0.431	0.423	591	3.534E-41	1436	5.947E-01	5.828E-01	5.552E-01	7.842E-01	1.000
FZD4_HUMAN_Q9ULV1	FZD5_HUMAN_Q13467	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.54745	0.45255	0.406	585	2.945E-41	1429	5.768E-01	5.705E-01	5.244E-01	7.974E-01	1.000
FZD4_HUMAN_Q9ULV1	FZD1_HUMAN_Q9UP38	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.53075	0.46925	0.388	664	8.394E-41	1408	5.897E-01	5.781E-01	4.834E-01	7.739E-01	1.000
FZD4_HUMAN_Q9ULV1	FZD3_HUMAN_Q9NPG1	structure_vs_structure	foldseek	foldseek_tmscore_mean	0.53285	0.46715	0.307	578	1.156E-33	1172	6.084E-01	5.878E-01	4.779E-01	7.602E-01	1.000
