gene	uniprot_accession	uniprot_entry	sequence_id	sequence_length	structure_file	structure_source
WNT1	P04628	WNT1_HUMAN	WNT1_HUMAN_P04628	370	structures/WNT1_HUMAN_P04628.cif	https://alphafold.ebi.ac.uk/files/AF-P04628-F1-model_v6.cif
WNT2	P09544	WNT2_HUMAN	WNT2_HUMAN_P09544	360	structures/WNT2_HUMAN_P09544.cif	https://alphafold.ebi.ac.uk/files/AF-P09544-F1-model_v6.cif
WNT2B	Q93097	WNT2B_HUMAN	WNT2B_HUMAN_Q93097	391	structures/WNT2B_HUMAN_Q93097.cif	https://alphafold.ebi.ac.uk/files/AF-Q93097-F1-model_v6.cif
WNT3	P56703	WNT3_HUMAN	WNT3_HUMAN_P56703	355	structures/WNT3_HUMAN_P56703.cif	https://alphafold.ebi.ac.uk/files/AF-P56703-F1-model_v6.cif
WNT3A	P56704	WNT3A_HUMAN	WNT3A_HUMAN_P56704	352	structures/WNT3A_HUMAN_P56704.cif	https://alphafold.ebi.ac.uk/files/AF-P56704-F1-model_v6.cif
WNT4	P56705	WNT4_HUMAN	WNT4_HUMAN_P56705	351	structures/WNT4_HUMAN_P56705.cif	https://alphafold.ebi.ac.uk/files/AF-P56705-F1-model_v6.cif
WNT5A	P41221	WNT5A_HUMAN	WNT5A_HUMAN_P41221	380	structures/WNT5A_HUMAN_P41221.cif	https://alphafold.ebi.ac.uk/files/AF-P41221-F1-model_v6.cif
WNT5B	Q9H1J7	WNT5B_HUMAN	WNT5B_HUMAN_Q9H1J7	359	structures/WNT5B_HUMAN_Q9H1J7.cif	https://alphafold.ebi.ac.uk/files/AF-Q9H1J7-F1-model_v6.cif
WNT6	Q9Y6F9	WNT6_HUMAN	WNT6_HUMAN_Q9Y6F9	365	structures/WNT6_HUMAN_Q9Y6F9.cif	https://alphafold.ebi.ac.uk/files/AF-Q9Y6F9-F1-model_v6.cif
WNT7A	O00755	WNT7A_HUMAN	WNT7A_HUMAN_O00755	349	structures/WNT7A_HUMAN_O00755.cif	https://alphafold.ebi.ac.uk/files/AF-O00755-F1-model_v6.cif
WNT7B	P56706	WNT7B_HUMAN	WNT7B_HUMAN_P56706	349	structures/WNT7B_HUMAN_P56706.cif	https://alphafold.ebi.ac.uk/files/AF-P56706-F1-model_v6.cif
WNT8A	Q9H1J5	WNT8A_HUMAN	WNT8A_HUMAN_Q9H1J5	351	structures/WNT8A_HUMAN_Q9H1J5.cif	https://alphafold.ebi.ac.uk/files/AF-Q9H1J5-F1-model_v6.cif
WNT8B	Q93098	WNT8B_HUMAN	WNT8B_HUMAN_Q93098	351	structures/WNT8B_HUMAN_Q93098.cif	https://alphafold.ebi.ac.uk/files/AF-Q93098-F1-model_v6.cif
WNT9A	O14904	WNT9A_HUMAN	WNT9A_HUMAN_O14904	365	structures/WNT9A_HUMAN_O14904.cif	https://alphafold.ebi.ac.uk/files/AF-O14904-F1-model_v6.cif
WNT9B	O14905	WNT9B_HUMAN	WNT9B_HUMAN_O14905	357	structures/WNT9B_HUMAN_O14905.cif	https://alphafold.ebi.ac.uk/files/AF-O14905-F1-model_v6.cif
WNT10A	Q9GZT5	WN10A_HUMAN	WN10A_HUMAN_Q9GZT5	417	structures/WN10A_HUMAN_Q9GZT5.cif	https://alphafold.ebi.ac.uk/files/AF-Q9GZT5-F1-model_v6.cif
WNT10B	O00744	WN10B_HUMAN	WN10B_HUMAN_O00744	389	structures/WN10B_HUMAN_O00744.cif	https://alphafold.ebi.ac.uk/files/AF-O00744-F1-model_v6.cif
WNT11	O96014	WNT11_HUMAN	WNT11_HUMAN_O96014	354	structures/WNT11_HUMAN_O96014.cif	https://alphafold.ebi.ac.uk/files/AF-O96014-F1-model_v6.cif
WNT16	Q9UBV4	WNT16_HUMAN	WNT16_HUMAN_Q9UBV4	365	structures/WNT16_HUMAN_Q9UBV4.cif	https://alphafold.ebi.ac.uk/files/AF-Q9UBV4-F1-model_v6.cif
NDP	Q00604	NDP_HUMAN	NDP_HUMAN_Q00604	133	structures/NDP_HUMAN_Q00604.cif	https://alphafold.ebi.ac.uk/files/AF-Q00604-F1-model_v6.cif
