id	FZD1_HUMAN_Q9UP38	FZD2_HUMAN_Q14332	FZD7_HUMAN_O75084	FZD5_HUMAN_Q13467	FZD8_HUMAN_Q9H461	FZD4_HUMAN_Q9ULV1	FZD9_HUMAN_O00144	FZD10_HUMAN_Q9ULW2	FZD3_HUMAN_Q9NPG1	FZD6_HUMAN_O60353
FZD1_HUMAN_Q9UP38	0	0.3361	0.29855	0.460625	0.5129	0.462775	0.4769	0.476925	0.4594	0.476175
FZD2_HUMAN_Q14332	0.3361	0	0.264975	0.44335	0.480075	0.436975	0.4457	0.428075	0.424725	0.437125
FZD7_HUMAN_O75084	0.29855	0.264975	0	0.43325	0.482125	0.4387	0.458	0.43835	0.42225	0.4423
FZD5_HUMAN_Q13467	0.460625	0.44335	0.43325	0	0.451525	0.45255	0.4802	0.46335	0.489075	0.49655
FZD8_HUMAN_Q9H461	0.5129	0.480075	0.482125	0.451525	0	0.443425	0.48775	0.474425	0.509725	0.553925
FZD4_HUMAN_Q9ULV1	0.462775	0.436975	0.4387	0.45255	0.443425	0	0.41725	0.40605	0.46515	0.51235
FZD9_HUMAN_O00144	0.4769	0.4457	0.458	0.4802	0.48775	0.41725	0	0.3902	0.491025	0.516225
FZD10_HUMAN_Q9ULW2	0.476925	0.428075	0.43835	0.46335	0.474425	0.40605	0.3902	0	0.489825	0.501725
FZD3_HUMAN_Q9NPG1	0.4594	0.424725	0.42225	0.489075	0.509725	0.46515	0.491025	0.489825	0	0.42415
FZD6_HUMAN_O60353	0.476175	0.437125	0.4423	0.49655	0.553925	0.51235	0.516225	0.501725	0.42415	0
