id	FZD1_HUMAN_Q9UP38	FZD2_HUMAN_Q14332	FZD3_HUMAN_Q9NPG1	FZD4_HUMAN_Q9ULV1	FZD5_HUMAN_Q13467	FZD6_HUMAN_O60353	FZD7_HUMAN_O75084	FZD8_HUMAN_Q9H461	FZD9_HUMAN_O00144	FZD10_HUMAN_Q9ULW2
FZD1_HUMAN_Q9UP38	0	0.3361	0.4594	0.462775	0.460625	0.476175	0.29855	0.5129	0.4769	0.476925
FZD2_HUMAN_Q14332	0.3361	0	0.424725	0.436975	0.44335	0.437125	0.264975	0.480075	0.4457	0.428075
FZD3_HUMAN_Q9NPG1	0.4594	0.424725	0	0.46515	0.489075	0.42415	0.42225	0.509725	0.491025	0.489825
FZD4_HUMAN_Q9ULV1	0.462775	0.436975	0.46515	0	0.45255	0.51235	0.4387	0.443425	0.41725	0.40605
FZD5_HUMAN_Q13467	0.460625	0.44335	0.489075	0.45255	0	0.49655	0.43325	0.451525	0.4802	0.46335
FZD6_HUMAN_O60353	0.476175	0.437125	0.42415	0.51235	0.49655	0	0.4423	0.553925	0.516225	0.501725
FZD7_HUMAN_O75084	0.29855	0.264975	0.42225	0.4387	0.43325	0.4423	0	0.482125	0.458	0.43835
FZD8_HUMAN_Q9H461	0.5129	0.480075	0.509725	0.443425	0.451525	0.553925	0.482125	0	0.48775	0.474425
FZD9_HUMAN_O00144	0.4769	0.4457	0.491025	0.41725	0.4802	0.516225	0.458	0.48775	0	0.3902
FZD10_HUMAN_Q9ULW2	0.476925	0.428075	0.489825	0.40605	0.46335	0.501725	0.43835	0.474425	0.3902	0
